"indiv.1","indiv.2","mean.overlap","mean.distance","group","type","group.size","experiment.type"
"982126051278540","982126058484318",0.101668311401183,2.53429672258972,"S9","vuelo grupal/sin sonido",6,"Regular"
"982126051278540","982126058844330",0.178037264919763,1.88501859765032,"S9","vuelo grupal/sin sonido",6,"Regular"
"982126051278540","982126957845238",0.394532218033443,1.71879877263053,"S9","vuelo grupal/sin sonido",6,"Regular"
"982126052945921","982126058484318",0.0219091123375856,3.56698260443677,"S9","vuelo grupal/sin sonido",6,"Regular"
"982126052945921","982126058844330",0.0568661041378992,3.46028924870574,"S9","vuelo grupal/sin sonido",6,"Regular"
"982126052945921","982126957845238",0.049534368542271,3.08203119756827,"S9","vuelo grupal/sin sonido",6,"Regular"
"982126058484318","982126058844330",0.322275635278663,1.44172124149815,"S9","vuelo grupal/sin sonido",6,"Regular"
"982126058484318","982126957845238",0.427000782661609,1.06358439042623,"S9","vuelo grupal/sin sonido",6,"Regular"
"982126058844330","982126957845238",0.588459042309041,0.797713374935731,"S9","vuelo grupal/sin sonido",6,"Regular"
"900200000279422","982126051278491",0.377936275933975,1.3256488079769,"G1","vuelo grupal/sin sonido",2,"Regular"
"900200000279422","982126057846162",0.125680622985384,2.40812131007845,"GM10","vuelo grupos mixtos",5,"Artificial"
"900200000279422","982126057846239",0.1097660966169,2.40144499300832,"GM10","vuelo grupos mixtos",5,"Artificial"
"900200000279422","982126058484339",0.0166880386487137,3.417490479255,"GM10","vuelo grupos mixtos",5,"Artificial"
"900200000279422","982126957845238",0.0532668871371813,2.78118722658151,"GM10","vuelo grupos mixtos",5,"Artificial"
"982126057846162","982126057846239",0.539826389881573,1.22873034411763,"GM10","vuelo grupos mixtos",5,"Artificial"
"982126057846162","982126058484339",0.391495100796737,1.16093263870928,"GM10","vuelo grupos mixtos",5,"Artificial"
"982126057846162","982126957845238",0.592579205336524,0.879143929104254,"GM10","vuelo grupos mixtos",5,"Artificial"
"982126057846239","982126058484339",0.380115161305985,1.91753415446725,"GM10","vuelo grupos mixtos",5,"Artificial"
"982126057846239","982126957845238",0.34392822445996,1.91918507363101,"GM10","vuelo grupos mixtos",5,"Artificial"
